,Text in Diderot_Supplement,Text in B,Location in Diderot_Supplement,Location in B
Bernardin_Paul_0,"s offres. 
Orou répliqua : ---JE NE SAIS CE QUE C'EST QUE LA chose que tu appelles religio",ère me l'a dit ; car pour moi JE NE SAIS CE QUE C'EST QUE LA naissance. Je ne me suis jama,"(27524, 27554)","(277651, 277681)"
Constant_Laure2_0,"B . Là, sur cette table. 
A . EST-CE QUE VOUS NE ME LE CONFIEREZ pas ? 
B . Non ; mais nous po"," ne vous en ai jamais entendu PARLER, EST-CE QUE VOUS NE LE COnnaissez pas? Mlle. de Mirfor ","(11786, 11820)","(168546, 168578)"
Diderot_Jacques_0,"B . Là, sur cette table. 
A . EST-CE QUE VOUS NE ME LE CONFIEREZ pas ? 
B . Non ; mais nous po",arrivé ?--Ce qui m'est arrivé EST-CE QUE VOUS NE LE VOYEZ pas ? On m'avait envoyé achet,"(11786, 11820)","(137259, 137286)"
Diderot_Jacques_1,"s offres. 
Orou répliqua : ---JE NE SAIS CE QUE C'EST QUE la chose que tu appelles reli","ncipes... À boire... 
JACQUES JE NE SAIS CE QUE C'EST QUE des principes, sinon des règl","(27524, 27551)","(137259, 137286)"
Diderot_Jacques_2,"x êtres de chair, à la face d'UN CIEL QUI N'EST PAS UN INSTANT LE MÊME, sous des antres qui menacent",attestèrent de leur constance UN CIEL QUI N'EST PAS UN INSTANT LE MÊME ; tout passait en eux et auto,"(35297, 35337)","(137259, 137286)"
Diderot_Religieuse_0,ns sa cabane : les hommes les TENAIENT EMBRASSÉS PAR LE MILIEU DU CORPS ; les femmes leur flattaient ," d'autres m'entouraient et me TENAIENT EMBRASSÉE PAR LE MILIEU DU CORPS, comme si elles eussent crain","(25115, 25156)","(171489, 171530)"
Kimber_Thompson_0,"vêtements dans le vaisseau et DE PASSER LE RESTE DE SES JOURS parmi eux, et qu'il craint bi",e campagne où il se proposait DE PASSER LE RESTE DE SES JOURS. Je ne pus me dispenser de l',"(64948, 64979)","(395844, 395875)"
Louvet_Annee_0,"B . Là, sur cette table. 
A . EST-CE QUE VOUS NE ME LE CONFIEREZ pas ? 
B . Non ; mais nous po"," mademoiselle, lui ai-je dit, EST-CE QUE VOUS NE LE CONNAISSEZ pas? "" elle a répondu: si fai","(11786, 11820)","(418748, 418780)"
Rousseau_Emile_0,". Il ne te donnera jamais que CE QUI NE LUI EST BON À RIEN, et te demandera toujours ce ","père, de commander à l'enfant CE QUI NE LUI EST BON À RIEN. 
Avant que les préjugés etam","(61079, 61107)","(143606, 143634)"
Sade_Philosophie_0,"s offres. 
Orou répliqua : ---JE NE SAIS CE QUE C'EST QUE la chose que tu appelles reli","sque nous voulons raisonner ; JE NE SAIS CE QUE C'EST QUE le cœur, moi, je n'appelle ai","(27524, 27551)","(329907, 329934)"
Senac_Emigre_0,"arme meurtrière, la terreur s'EST EMPARÉE DE LUI ; ET IL S'EST enfui dans la montagne. Mais ","ices ! une sorte de désespoir S'EST EMPARÉ DE LUI, ET IL S'Est écrié : ah ! jamais jamais.","(20982, 21014)","(364351, 364381)"
