,Text in Leonard_Clementine,Text in B,Location in Leonard_Clementine,Location in B
Benoist_Elisabeth_0,"que sont devenus, mon Emilie, CES JOURS HEUREUX QUE NOUS AVONS PASSÉS au couvent? Où sont les jeux ",". Je me rappelle avec délices LES JOURS HEUREUX QUE NOUS AVONS PASSÉS à nous parler avec confiance,","(61, 100)","(233654, 233693)"
Crebillon_Nuit_0,"ancher les jours de sa fille? CE QUE JE NE CONÇOIS PAS, C'EST QUE VOUS ayez pu mettre au mondecette "," me paraît tout simple ; mais CE QUE JE NE CONÇOIS PAS, C'EST QU'APRÈS VOUS ayez été la trouver dans sa c","(68356, 68396)","(35118, 35163)"
Diderot_Religieuse_0,"e: elle m'a fait voir à terre UN MORCEAU DE PAIN NOIR ET UNE CRUCHE D'EAU. Alors soulevant ses mains, q"," demi pourrie. Là, je trouvai UN MORCEAU DE PAIN NOIR ET UNE CRUCHE D'EAU avec quelques vaisseaux néces","(65795, 65838)","(113825, 113868)"
Genlis_Chevaliers_0,e je l'observe de sang-froid. CE N'EST POINT LE DÉPIT QUI ME FAIT PARLER: hélas! Il n'en est peut-être,"ans ses bras! Non, crois-moi, CE N'EST POINT LE DÉPIT QUI ME FAIT PARLER: je ne m'abuse plus maintenan","(3909, 3951)","(855905, 855947)"
Gerard_Comte_0,"istraite, indifférente, et me MET SANS CESSE EN CONTRADICTION AVEC MOI-MÊME? ô ma chère! Que cet état me ","mpé? N'aurait-il voulu que me METTRE SANS CESSE EN CONTRADICTION AVEC MOI-MÊME, que m'amorcer et me séduire ","(1354, 1399)","(385645, 385693)"
Gerard_Comte_1,"tais à genoux devant elle, et JE TENAIS UNE DE SES MAINS QUE je collois sur mes lèvres. El",un jour m'expliquer avec lui. JE TENAIS UNE DE SES MAINS QUE j'arrosois de mes pleurs: che,"(36338, 36368)","(385645, 385693)"
Lagrave_Sophie_0,joie. Je renais au bonheur. C'EST EN VAIN QUE JE VOUDRAIS ME LE DISSIMULER: Seligny m'est cher. Ce n'est,our qui s'est emparé de mon cœUR? C'EST EN VAIN QUE JE VOUDRAIS LE DISSimuler; je suis en proie à tou,"(4965, 5009)","(83674, 83715)"
Rousseau_Julie_0,"istraite, indifférente, et me MET SANS CESSE EN CONTRADICTION AVEC MOI-même? ô ma chère! Que cet éta","y a plus; c’est que chacun se MET SANS CESSE EN CONTRADICTION AVEC LUI-même, sans qu’on s’avise de l","(1354, 1394)","(431385, 431425)"
Rousseau_Julie_1,"deviné? 
LETTRE 4 à la même. 
QUEL SENTIMENT DÉLICIEUX J'ÉPROUVE EN COMMENÇANT CETTE LETTRE! Elle te peindra ma joie. Je ", MDE. DE WOLMAR A SAINT PREUX QUEL SENTIMENT DÉLICIEUX J’ÉPROUVE EN COMMENÇANT CETTE LETTRE! Voici la première fois de ma,"(4853, 4914)","(431385, 431425)"
Sade_120_0,"retourne à la sienne. Souvent AU BOUT DE DEUX OU TROIS HEURES, je quitte mon ouvrage, et je","il le mâche, il le savoure et AU BOUT DE DEUX OU TROIS MINUTES, je le lui vois distinctement","(20949, 20980)","(400481, 400513)"
Sade_Aline_0,"d'un sentiment nouveau, s'est JETÉE AUX PIEDS DE SA MÈRE, ET LES a mouillés de ses pleurs. Mad"," instant, Aline plus libre se JETTE AUX PIEDS DE SA MÈRE, ET LES baise tous deux avec respect,","(59999, 60033)","(1525900, 1525934)"
Senac_Emigre_0,"ui m'a ordonné de la quitter: JE NE SAIS QUE PENSER DE CE qui m'arrive. Hier, jour de m","ez y votre lumière, car souvenT JE NE SAIS QUE PENSER DE ce que j'éprouve. J'ai du plai","(34873, 34900)","(355433, 355460)"
